sent_id	left_context	pivot	right_context
test-s713	उन्होंने 	कहा	 कि वह मुख्यमंत्री के रूप में बदले की भावना से काम नहीं करेंगे, बल्कि सभी को साथ लेकर चलने की कोशिश करेंगे । 
test-s714	उन्होंने 	कहा	 कि उनकी पार्टी एक जिम्मेदार विपक्ष की भूमिका निभाएगी । 
test-s718	इस बारे में पूछे गए सवाल को टालते हुए उन्होंने 	कहा	, 'अभी तो बहुत सी चीजें तय होनी बाकी हैं । 
test-s723	उन्होंने 	कहा	 कि जो लोग राजद की हार का जश्न मना रहे हैं उन्हें जल्द ही अपनी गलती का अहसास होगा । 
test-s731	एटीएस सूत्रों ने 	कहा	 कि दस्ते की जैन हत्याकांड में सलेम और अन्य आरोपियों के शामिल होने के बारे में और जानकारी जुटाने के लिए गैंगस्टर का लाइ - डिटेक्टर, ब्रेन मैपिंग और नारको एनालेसिस टेस्ट करने की मंशा है । 
test-s740	सिन्हा ने कहा कि बुधवार की रात सिंह ने उन्हें फोन पर 	बताया	 कि प्रधानमंत्री उनकी मांग पर विचार करने के लिए तैयार हैं । 
test-s747	उन्होंने 	कहा	 कि जल्दी ही वह 'एक्शन' में लौटेंगे । 
test-s791	उन्होंने 	कहा	 कि न्यूनतम मजदूरी तय करना राज्य का अधिकार है । 
test-s795	उन्होंने 	कहा	 कि यह योजना देश के एक तिहाई हिस्से से शुरू होगी, लेकिन जल्दी ही इसे पूरे देश में लागू कर दिया जाएगा । 
test-s800	उन्होंने 	कहा	 कि बिल के प्रावधानों के मुताबिक यदि सरकार वादे के अनुरूप काम नहीं दे सकी तो वह उतनी ही राशि बतौर बेरोजगारी भत्ता देगी । 
test-s809	नेशनल कांफ्रेंस नेता और पूर्व केंद्रीय मंत्री उमर अब्दुल्ला ने बुधवार को 	कहा	 कि वह कश्मीर की स्वायत्तता के मसले पर जल्द ही एक प्रतिनिधिमंडल के साथ प्रधानमंत्री, यूपीए अध्यक्ष और वाम दलों के नेताओं से मुलाकात करेंगे । 
test-s810	उमर ने 	कहा	 कि जम्मू कश्मीर को अधिक स्वायत्तता देने के मसले पर वह एक प्रतिनिधिमंडल के साथ प्रधानमंत्री मनमोहन सिंह व यूपीए अध्यक्ष सोनिया गांधी से मिलेंगे । 
test-s837	उन्होंने 	कहा	 कि आयोग इस मामले में अब कानूनी कार्रवाई करेगा । 
test-s838	रंजना 	चाहती	 हैं कि उदित उन्हें उनका हक दें । 
test-s855	लालू अब निश्चिंत 	हैं	 कि ओझा - गुनी को लामबंद करने की संजय पासवान की मुहिम से राजद को नुकसान नहीं होगा । 
test-s872	मैंने उन्हें 	समझाया	 कि ओझा - गुनी का विरोध करना सवर्णों को फायदा पहुँचाएगा क्योंकि ज्यादातर ओझा - गुनी ग़ैर ब्राह्मण हैं । 
test-s880	अदालत ने दिल्ली पुलिस के वकील से कहा कि वह पुलिस आयुक्त से इस संबंध में पता 	करें	 कि अगर गिलानी की सुरक्षा राजस्थान पुलिस को सौंपी जाती है तो दिल्ली पुलिस को एतराज तो नहीं होगा । 
test-s880	अदालत ने दिल्ली पुलिस के वकील से 	कहा	 कि वह पुलिस आयुक्त से इस संबंध में पता करें कि अगर गिलानी की सुरक्षा राजस्थान पुलिस को सौंपी जाती है तो दिल्ली पुलिस को एतराज तो नहीं होगा । 
test-s881	दिल्ली पुलिस के वकील गोपाल सुब्रह्मण्यम ने 	कहा	 कि वह इस संबंध में आयुक्त डॉ. के. के. पॉल से बात करेंगे । 
test-s903	बिहार विधानसभा भंग किए जाने की सिफारिश को संविधान सम्मत करार देते हुए राज्यपाल बूटा सिंह ने बुधवार को 	कहा	 कि विधायकों की खरीद - फरोख्त के मामले में यदि उनके समक्ष शिकायत दर्ज हुई तो वे ऐसे लोगों के खिलाफ कार्रवाई करेंगे । 
test-s907	पटना में एक संवाददाता सम्मेलन में बूटा ने 	कहा	 कि राजग के नेता उनके फैसले के खिलाफ़ अदालत में जाने के लिए स्वतंत्र हैं । 
test-s946	उन्होंने आगे 	कहा	 कि शाकाहारी बेशक़ शाक - सब्जी अथवा घास खाएँ । 
test-s947	उन्होंने लोगों का आह्वान 	किया	 कि वे जमकर चिकन खाएँ । 
test-s959	आयोग ने याचिकाकर्ताओं से 	कहा	 है कि वे बताएं कि संबंधित सांसद या विधायक को किस तारीख को पद पर नियुक्त किया गया, जिसे वे लाभ का पद कह रहे हैं । 
test-s962	सूत्रों का 	कहना	 है कि पूर्व राज्यसभा सांसद जया बच्चन से लाभ के पद को लेकर याचिका करने का जो सिलसिला चल पड़ा है वह अभी थमने वाला नहीं है और इस मामले में और शिकायतों का अंबार लग सकता है । 
test-s985	सूत्रों के मुताबिक आयोग ने बिहार की तरह ही इन राज्यों से 	कहा	 है कि वे ऐसे लोगों के नाम मतदाता सूची से काटे जिनके खिलाफ ग़ैर जमानती वारंट पिछले छह महीने से लंबित हैं । 
test-s1057	पिछले वर्ष मई में सभी चुने हुए संस्थानों के साथ हुई बैठक में संस्थानों को 	कहा	 गया कि वे जोशी समिति की सिफारिशों के आधार पर विजन डॉक्यूमेंट तैयार करें । 
test-s1062	पिछले हफ्ते वाशिंगटन में एशिया सोसाइटी की बैठक में बुश ने 	कहा	 कि इस बारे में सोचिए । 
test-s1065	वे भारत के सस्ते श्रम बाजार को लेकर चिंतित हैं लेकिन सरकार का 	कहना	 है कि वैश्विक बाजार में अगर अमेरिकी कंपनियाँ प्रतियोगी बनी रहती हैं तो अमेरिकी नौकरियों की कोई कमी नहीं होगी । 
test-s1084	हालांकि अभी वह अपनी प्रतिक्रियाएँ केवल जापानी भाषा में ही देता है, पर इंजीनियरों ने उम्मीद 	जताई	 है कि जल्द ही वह अंग्रेजी में भी बात करने लगेगा । 
test-s1097	भारत ने बांग्लादेश को भरोसा 	दिलाया	 कि वह नदियों को जोड़ने की योजना पर संबंधित क्षेत्रीय देशों से विचार - विमर्श किए बगैर अमल नहीं करेगा । 
test-s1100	बात - चीत में सिंह ने भरोसा 	दिलाया	 था कि भारत इस मुद्दे पर संबंधित देशों से बात - चीत के बाद ही कोई कदम उठाएगा । 
test-s1107	खान ने सिंह के उस बयान का स्वागत किया है जिसमें 	कहा	 है कि बांग्लादेशी घुसपैठियों के मामले में भारत बिना किसी सुबूत के कार्रवाई नहीं करेगा । 
test-s1128	उनकी माँ ने सोमवार को 	कहा	 कि वे मायावती द्वारा कांशी राम को अवैध रूप से अपने यहाँ रखने के खिलाफ जल्द ही सुप्रीम कोर्ट का दरवाजा खटखटाएंगे । 
test-s1129	कांशी राम की ९४ वर्षीय माँ बिशन कौर और उनके छोटे भाई दलबारा सिंह ने पत्रकारों से 	कहा	 कि मायावती द्वारा कांशी राम को उनके नई दिल्ली स्थित घर पर अवैध रूप से रखे जाने के खिलाफ वे सुप्रीम कोर्ट जाएंगे । 
test-s1155	उन्होंने 	कहा	 कि अदालत इस पर बाद में विचार करेगी । 
test-s1175	केंद्रीय मानव संसाधन विकास मंत्री और वरिष्ठ कांग्रेस नेता अर्जुन सिंह ने यहां 	कहा	 कि मौजूदा राजनीतिक परिस्थितियों में गठबंधन राजनीति देश का भविष्य होगी । 
test-s1187	जिंदल स्टील के प्रबंध निदेशक व सांसद नवीन जिंदल ने 'अमर उजाला' को 	बताया	 कि स्क्रैप पर पाँच फीसदी ड्यूटी लगाए जाने से इसके बढ़ते आयात पर लगाम लगाने में मदद मिलेगी, जिससे घरेलू स्पॉन्ज आयरन उद्योग को सीधा लाभ होगा । 
test-s1211	राज्य सरकार के स्थाई अधिवक्ता सी. डी. सिंह ने खंडपीठ से 	कहा	 कि निगरानी कमेटी द्वारा रिपोर्ट पेश करने के बाद कोर्ट जो भी निर्देश देगा उसका राज्य सरकार अनुपालन करेगी । 
test-s1261	भारतीय जनता पार्टी की वरिष्ठ नेता सुषमा स्वराज ने सोमवार को 	कहा	 कि उनकी पार्टी हत्या मामले में काँचीमठ के शंकराचार्य जयेंद्र सरस्वती की गिरफ्तारी का संसद में विरोध करेगी । 
test-s1299	दोनों देशों के बीच समानताओं का जिक्र करते हुए हुसैन ने 	कहा	 कि ढाका को आगामी सार्क सम्मेलन के लिए भारत के प्रधानमंत्री मनमोहन सिंह की यात्रा का इंतजार रहेगा । 
test-s1318	बिहार विधानसभा के दो चरणों के चुनाव शांतिपूर्ण ढंग से सम्पन्न होने से उत्साहित मुख्य चुनाव आयुक्त बी. बी. टंडन ने 	कहा	 कि तीसरे चरण के चुनाव के दरम्यान आयोग सुरक्षा की कड़ी व्यवस्था करेगा । 
test-s1383	सूत्रों का 	कहना	 है कि दोनों देशों के रेल अधिकारी ट्रेन सेवा शुरू करने की तिथि और किराये के मसले पर चर्चा करेंगे । 
test-s1392	जमाली ने सिंह को प्रधानमंत्री पद संभालने के लिए बधाई दी और आशा 	जताई	 कि द्विपक्षीय संबंधों को बेहतर बनाने के लिए चल रहे प्रयास जारी रहेंगे । 
test-s1401	जम्मू - कश्मीर के मनोनीत मुख्यमंत्री गुलाम नबी आज़ाद ने 	कहा	 है कि घाटी में शांति बहाल करना उनके सामने सबसे बड़ी चुनौती है । 
test-s1403	उनकी कोशिश 	होगी	 कि सभी पार्टियों को साथ लेकर रियासत में अमन बहाल करें । 
test-s1410	आज़ाद का 	कहना	 है कि घाटी में अमल बहाल करना उनके लिए बड़ी चुनौती है और इसके लिए वह सियासी व गैर सियासी पार्टियों का सहयोग लेंगे । 
test-s1425	उद्योग जगत का 	कहना	 है कि इस साल खरीफ सीजन के दौरान तिलहन का उत्पादन 130 लाख टन होगा । 
test-s1427	लेकिन उद्योग का 	कहना	 है कि इस साल तिलहन का उत्पादन पिछले साल की तुलना में ज्यादा होगा । 
test-s1430	उद्योग जगत दावा 	करता	 है कि इस खरीफ सीज़न के दौरान तिलहन का उत्पादन पिछले साल की तुलना में ज्यादा होगा । 
test-s1455	रेवा नैयर ने 	बताया	 कि इसमें महिलाओं एवं बच्चे - बच्चियों की तस्करी करने वालों के खिलाफ सख्त सजा के प्रावधान हैं । 
test-s1468	अन्य व्यवस्थाओं के साथ स्टाफ को सख्त निर्देश 	दिए	 गए हैं कि वे सैलानियों के साथ व्यावसायिक मेजबान की तरह पेश आएं । 
test-s1494	हालांकि मुंबई पुलिस के संयुक्त आयुक्त (कानून व्यवस्था) अरुप पटनायक ने 	कहा	 कि इस उत्सव में ढोलों, आतिशबाजियों और लोगों के एक जगह एकत्र होकर उत्सव में भाग लेने की परंपरा के कारण सुप्रीम कोर्ट के दिशा - निर्देश के अनुरूप ध्वनि प्रदूषण कम से कम रखने की कोशिश रहेगी । 
test-s1551	मौसम विभाग का 	कहना	 है कि अगले चौबीस घंटों में सर्दी बरकरार रहेगी और मौसम का मिजाज साफ रहेगा । 
test-s1590	इन लोगों का 	कहना	 है कि जब हिम शिवलिंग का दर्शन नहीं हो पाएगा, तो वहां जाने से कोई फायदा नहीं है क्योंकि श्रद्धालु उसी का दर्शन करने जाते हैं । 
test-s1625	संगम में जल प्रदूषण से श्रद्धालुओं के नाराज होने की आशंका को देखते हुए राज्य सरकार ने केंद्र से अनुरोध 	किया	 था कि वह हरियाणा, दिल्ली, और उत्तरांचल से गंगा और यमुना में ज्यादा पानी छोड़ने को कहे, जिससे कि अर्धकुंभ के दौरान संगम में नहाने लायक साफ पानी मिल सके । 
test-s1637	कमेटी ने 	कहा	 कि वह श्री अमरनाथ मंदिर बोर्ड की इस बात का समर्थन भी करेगी कि यात्रा की अवधि दो महीने तक बढ़ा दी जाए । 
test-s1647	महंत गिरि ने 	बताया	 कि छड़ी मुबारक के साथ शुक्रवार की रात वह पहलगाम पहुंचेंगे जहां शाम में और शनिवार की सुबह पूजा की जाएगी । 
dev-s119	शरीफ ने कहा कि तब वाजपेयी ने मुझसे 	कहा	 था कि वे वर्ष, १९९९ को कश्मीर समस्या के समाधान वर्ष के रूप में याद करना चाहेंगे । 
dev-s171	उन्होंने 	कहा	 कि मंत्रियों की समिति न्यायाधीश की राय नहीं लेगी और स्वतंत्र रूप से अपने सुझाव देगी । 
dev-s206	जिन्ना को पाकिस्तान का जनक बताते हुए वाजपेयी ने कहा कि कायदे आजम 	चाहते	 थे कि भारत और पाकिस्तान के लोग सद्भावना से रहें, लेकिन पाकिस्तान के नेताओं ने उनका समर्थन नहीं किया । 
dev-s209	लेकिन उन्होंने 	कहा	 कि हम जिन्ना को सेकुलर बताए जाने से सहमत नहीं हैं । 
dev-s212	मैं 	चाहता	 हूं कि संघ परिवार दबाव बनाकर प्रवीण तोगड़िया का बयान वापस कराए या फिर उन्हें विहिप से बाहर कर दिया जाए । 
dev-s243	अदालत का 	मानना	 है कि ऐसे लोगों के आने से पेशे में पवित्रता, ईमानदारी और पारदर्शिता बढ़ेगी, क्योंकि कानूनी पेशे को ऐसे लोगों की जरूरत है, जो पूरी निष्ठा और निस्वार्थ भाव से दबे कुचले लोगों और पर्यावरण संरक्षण के मसले उठाएं । 
dev-s330	वहीं राज्यसभा में वाजपेयी ने 	कहा	, 'मंत्री नियुक्त करना मेरी जिम्मेदारी है और प्रधानमंत्री के नाते त्यागपत्र लेना भी मेरी जिम्मेदारी है । 
dev-s334	लालू ने विपक्ष को चेतावनी 	दी	 है कि वे अपनी मुहिम खत्म करें वरना वह भी उनके दोहरे चरित्र का पर्दाफाश करेंगे । 
dev-s397	वह 	बताते	 हैं कि समिति शंकराचार्य जी के प्रति उत्तरदायी होगी । 
dev-s416	सूत्रों ने 	बताया	 कि वैश्विक स्तर पर ब्याज दरों में उछाल आने तथा पिछले कुछ हफ्तों में मुद्रास्फीती बढ़ने के मद्देनजर बजट में लघु बचत दरों को 8 - 8.5 फीसदी ही रखे जाने की उम्मीद है । 
dev-s490	इस कविता में सृष्टि ने उम्मीद 	जताई	 है कि दोनों देशों के बीच अच्छे संबंध केवल खेल के मैदान तक ही सीमित नहीं रहेंगे । 
dev-s496	सर्वे में इस बात पर चिंता 	जताई	 गई है कि इसके बावजूद मार्च २००६ तक टेलीफोन घनत्व केवल १४ रहेगा । 
dev-s566	अदालत ने इसके आधार पर निर्देश 	दिया	 कि सस्ती दर पर भूमि प्राप्त करने वाले अस्पताल किसी भी मरीज़ को भर्ती करने के दौरान उससे आय संबंधी कोई भी दस्तावेज या फिर बीपीएल कार्ड इत्यादि नहीं माँगेगा । 
dev-s600	एसएसपी ए. एस. रॉय का 	कहना	 है कि हवारा के यहाँ से गिरफ्तार होने के बारे में उन्हें कोई जानकारी नहीं है । 
dev-s604	कॉल ने 	कहा	 कि आम जनता के हित में विनिवेश की पूरी प्रक्रिया की आर्थिक जानकारी उपलब्ध कराना ऑडिटरों की जिम्मेदारी है । 
dev-s651	समिति का 	कहना	 है कि इससे आयोग सीधे किसानों के संपर्क में रहेगा और उनकी समस्याओं को बेहतर तरीके से निपटाया जा सकेगा । 
dev-s690	केंद्र की सलाह को स्वीकार करते हुए जस्टिस वाई. के. सब्बरवाल, जस्टिस के. जी. बालकृष्ण, जस्टिस बी. एन. अग्रवाल, जस्टिस अशोक भान और जस्टिस अजित पसायत की खंडपीठ ने संविधान के अनुच्छेद ३६१ के तहत अदालती कार्यवाही के मामले में राज्यपाल को प्राप्त विशेषाधिकार का हवाला देते हुए 	कहा	 कि अदालत राज्यपाल को नोटिस जारी नहीं करेगी । 
dev-s744	इस अवसर पर आयोजित समारोह को संबोधित करते हुए सिंह ने कहा कि लोकतंत्र और कानून के शासन में आस्था रखने वालों को 	चाहिए	 कि वे मिलकर आतंकवाद का मुकाबला करें । 
dev-s752	उसने 	कहा	 है कि वह हिंदू रीति - रिवाज के मुताबिक वाराणसी में शव का अंतिम संस्कार करेगी । 
dev-s756	सीमा ने आगे 	कहा	 कि गुर्जर के शव के औपचारिक दावे के लिए मैं जिले के वरिष्ठ पुलिस अधीक्षक से मुलाकात करूँगी । 
dev-s767	उन्होंने 	कहा	 कि मैं भाजपा के राष्ट्रवाद और आत्मविश्वास की विचार धारा से पूरी तरह प्रभावित हूँ । 
dev-s881	इसके अलावा उन्होंने 	कहा	 कि भारत पाकिस्तान के सभी प्रस्तावों पर विचार करने को तैयार है लेकिन वह नक्शे में तब्दीली स्वीकार करके दूसरे बंटवारे को न्योता नहीं दे सकता । 
dev-s1004	उन्होंने 	कहा	 कि अपनी नीतियों के अनुरूप वह चुनिंदा स्थितियों में ही इस उपकरण का उपयोग करेंगे । 
dev-s1009	वित्त मंत्री ने 	कहा	 कि सीमित निजीकरण के बावजूद सरकार सार्वजनिक क्षेत्र के उपक्रमों पर अपना नियंत्रण रखने के प्रति दृढ़ है । 
dev-s1016	विनिवेश से मिलने वाले धन के इस्तेमाल के बारे में वित्त मंत्री ने 	कहा	 कि विनिवेश से मिलने वाला राजस्व भारत सरकार के कोष का हिस्सा होगा । 
dev-s1020	उन्होंने 	कहा	 कि आयकर छूट की सीमा बढ़ाने से एक करोड़ से अधिक लोगों को फायदा होगा । 
dev-s1023	अगले साल तक राजकोषीय घाटा ४.४ फीसदी तक सीमित करने के लक्ष्य को 'तार्किक' करार देते हुए 	कहा	 कि सरकार पाँच साल में राजस्व घाटा समाप्त करने के लिए प्रतिबद्ध है । 
dev-s1024	उन्होंने 	कहा	 'मेरा हमेशा से मानना है कि व्यवस्थित अर्थ - व्यवस्था और सामाजिक दायित्वों की पूर्ति के लिए राजस्व सुधार बहुत जरूरी है 
dev-s1029	सब्सिडी के मसले पर उन्होंने कहा कि वित्त मंत्री ने वादा 	किया	 है कि नेशनल इंस्टीट्यूट ऑफ पब्लिक फाइनेंस ऐंड पॅलिसी इस मसले का अध्ययन करेगा । 
dev-s1091	बयान में 	कहा	 गया है कि लिट्टे और तमिल जनता श्रीलंका ब्रॉडकास्टिंग कॉरपोरेशन की इस शरारत भरी रिपोर्ट का विरोध करेंगे । 
dev-s1113	भारतीय विदेश मंत्रालय द्वारा जारी बयान में 	कहा	 गया है कि सिंह श्रीलंका की राष्ट्रपति, प्रधानमंत्री तथा अन्य वरिष्ठ नेताओं के साथ विभिन्न मुद्दों पर बात - चीत भी करेंगे । 
dev-s1147	पाकिस्तानी अखबार दि नेशन में राजनयिक सूत्रों के हवाले से छपी खबर के मुताबिक पाकिस्तान का 	मानना	 है कि जम्मू कश्मीर में सैनिकों की कटौती से दोनों देशों के बीच विश्वास बहाली में मदद मिलेगी । 
dev-s1207	सदन में प्रश्नकाल के दौरान अहमद ने पाकिस्तान को अमेरिका द्वारा हथियार देने की रिपोर्ट पर गंभीर चिंता जताते हुए 	कहा	 कि इससे भारत में अमेरिकी छवि को नुकसान पहुँचेगा । 
dev-s1210	विशेषज्ञ 	मानते	 हैं कि जब तक नेपाल में लोकतंत्र की स्थापना नहीं होगी तब तक वहाँ मानवाधिकार और अल्पसंख्यक जैसे विषयों पर बात करना बेमानी है । 
dev-s1214	लेकिन विशेषज्ञ 	मानते	 हैं कि नेपाल में लोकतंत्र नहीं होने के बावजूद परिषद का गठन तो होगा लेकिन उसे काम नहीं करने दिया जाएगा । 
